shape,abnormal,drop,hexangonal,kite,lozenge,octagonal,pointedoval,quatrofoil,rectangular,round,roundedoval,scutiform,square,trianglepointedup,undeterminedshape,size_area,animal,human,objects,device,undetermined,unassigned,beast,bird,fish,insect,bust,hand,boat,building,container,equipment,naturalproduct,irregular,radial,lattice,fulllength,symbol,hawkhunting,pelicaninpiety,headondish,twoheads,crossedhands,handholdingitem,seated,standing,riding,crucified,apparel,crenellation,tool,weapon,shell,wheatsheaf,stylizedlily,crosses,heart,merchantmark,texts,handholdingbird,halflength,crescent,beastbody,beasthead,doubleheadedeagle,horseshoe,twobirdsdrinking,animalequipment,transport,halflengthwomanholdingchild,halflengthwoman,halflengthman,swine,boarhead,centaur,dragon,hare,lion,lionhead,mermaid,squirrel,stag,staghead,unicorn,unicornhead,wolf,wolfhead,standingwoman,standingman,armouredmanequestrian,seatedwomanholdingchild,axe,shears,arrow,spear,sword,banner,shield,christogram,lionfighting,sheep,griffin,hammer,standingwomanholdingchild,hareonhound,lambandstaff,lionsleeping,standingliturgicalapparel,manfightinganimal,bowandarrow,spearandpennon,seatedman,date_origin,timegroup_c_range,pk_timegroup_c
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,1550-1574,17
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,1500-1524,15
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1317,1300-1324,7
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,1300-1324,7
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,1525-1549,16
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483,1475-1499,14
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.95,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,1300-1324,7
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.57,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,1300-1324,7
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,1375-1399,10
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,1525-1549,16
